,source,target,type
0,A244,B379,Both
1,A187,B120,Both
2,A118,B43,Both
3,A300,B683,Both
4,A672,B323,Both
5,A760,B494,Both
6,A695,B315,Both
7,A142,B688,Both
8,A885,B922,Both
9,A439,B350,Both
10,A26,B511,Both
11,A637,B165,Both
12,A613,B481,Both
13,A397,B618,Both
14,A509,B394,Both
15,A300,B638,Both
16,A111,B21,Both
17,A303,B570,Both
18,A966,B53,Both
19,A665,B569,Both
20,A113,B917,Both
21,A556,B574,Both
22,A680,B25,Both
23,A447,B412,Both
24,A287,B748,Both
25,A899,B360,Both
26,A455,B763,Both
27,A21,B809,Both
28,A352,B884,Both
29,A560,B978,Both
30,A414,B835,Both
31,A975,B86,Both
32,A141,B24,Both
33,A227,B548,Both
34,A359,B719,Both
35,A584,B975,Both
36,A725,B654,Both
37,A523,B351,Both
38,A830,B615,Both
39,A260,B838,Both
40,A864,B326,Both
41,A85,B739,Both
42,A929,B528,Both
43,A817,B794,Both
44,A11,B741,Both
45,A904,B96,Both
46,A375,B377,Both
47,A175,B840,Both
48,A206,B609,Both
49,A224,B877,Both
50,A926,B825,Both
51,A999,B953,Both
52,A615,B804,Both
53,A110,B627,Both
54,A325,B739,Both
55,A405,B911,Both
56,A512,B445,Both
57,A362,B920,Both
58,A159,B394,Both
59,A632,B510,Both
60,A238,B952,Both
61,A63,B421,Both
62,A54,B907,Both
63,A775,B767,Both
64,A555,B568,Both
65,A886,B956,Both
66,A770,B927,Both
67,A291,B201,Both
68,A264,B22,Both
69,A96,B970,Both
70,A775,B199,Both
71,A315,B881,Both
72,A998,B471,Both
73,A295,B191,Both
74,A890,B396,Both
75,A805,B366,Both
76,A722,B273,Both
77,A257,B214,Both
78,A193,B954,Both
79,A269,B488,Both
80,A353,B428,Both
81,A336,B714,Both
82,A575,B523,Both
83,A966,B380,Both
84,A155,B182,Both
85,A575,B267,Both
86,A731,B312,Both
87,A930,B433,Both
88,A809,B273,Both
89,A527,B985,Both
90,A93,B506,Both
91,A887,B87,Both
92,A321,B265,Both
93,A582,B48,Both
94,A836,B27,Both
95,A704,B840,Both
96,A792,B183,Both
97,A879,B852,Both
98,A43,B330,Both
99,A28,B344,Both
100,A793,B475,Both
101,A519,B4,Both
102,A578,B347,Both
103,A311,B845,Both
104,A68,B788,Both
105,A826,B930,Both
106,A54,B295,Both
107,A235,B553,Both
108,A525,B677,Both
109,A661,B375,Both
110,A778,B443,Both
111,A601,B130,Both
112,A301,B70,Both
113,A920,B15,Both
114,A905,B583,Both
115,A514,B346,Both
116,A359,B658,Both
117,A15,B504,Both
118,A414,B646,Both
119,A853,B664,Both
120,A236,B965,Both
121,A565,B788,Both
122,A84,B614,Both
123,A964,B738,Both
124,A283,B177,Both
125,A421,B346,Both
126,A820,B268,Both
127,A148,B911,Both
128,A517,B108,Both
129,A395,B349,Both
130,A916,B920,Both
131,A112,B920,Both
132,A268,B332,Both
133,A118,B337,Both
134,A807,B875,Both
135,A810,B482,Both
136,A388,B902,Both
137,A26,B142,Both
138,A269,B773,Both
139,A555,B306,Both
140,A384,B750,Both
141,A942,B841,Both
142,A232,B369,Both
143,A642,B387,Both
144,A597,B546,Both
145,A104,B376,Both
146,A605,B593,Both
147,A324,B693,Both
148,A115,B656,Both
