,name,f0,type
0,A0,0.8956453272567886,A
1,A1,0.460160810780768,A
2,A2,-0.16056142755690606,A
3,A3,0.0035778114583731035,A
4,A4,-0.17624598620293663,A
5,A5,0.6586213355346016,A
6,A6,0.5877092016343466,A
7,A7,-0.5138358517135704,A
8,A8,-0.415178873847027,A
9,A9,-0.475479382789205,A
10,A10,0.9664036087935854,A
11,A11,0.4755532384752188,A
12,A12,0.8508876190996517,A
13,A13,-0.48155628806246087,A
14,A14,0.4457532319942197,A
15,A15,-0.4018838777264879,A
16,A16,-0.23352133708720535,A
17,A17,-0.29576620172458035,A
18,A18,-0.8123696075305542,A
19,A19,-0.2575470550611396,A
20,A20,0.278144178564403,A
21,A21,0.29999450352648016,A
22,A22,-0.12945474367193777,A
23,A23,-0.08680091556135561,A
24,A24,0.5620466046558767,A
25,A25,0.4569153689953569,A
26,A26,0.47104943951763456,A
27,A27,0.9265652739760895,A
28,A28,0.0790502943874456,A
29,A29,0.9151056807649465,A
30,A30,0.4057083661325138,A
31,A31,-0.16612533048459377,A
32,A32,0.15091998551289953,A
33,A33,-0.9005771790134629,A
34,A34,0.09897801757840008,A
35,A35,-0.1843765867680658,A
36,A36,-0.9745196117786146,A
37,A37,-0.06319048633943569,A
38,A38,0.6916997461979186,A
39,A39,0.4073492378973005,A
40,A40,0.6865042375391637,A
41,A41,-0.39336379310133496,A
42,A42,0.8455743378003213,A
43,A43,0.6723761104882107,A
44,A44,0.187450966866326,A
45,A45,0.11445503634959642,A
46,A46,0.025819386386852106,A
47,A47,-0.6854298108620651,A
48,A48,-0.07495489943522027,A
49,A49,0.3187158109015853,A
50,A50,0.7992715325815796,A
51,A51,-0.2093927379746876,A
52,A52,0.10445806580869754,A
53,A53,0.45925495339599753,A
54,A54,-0.7803678528456115,A
55,A55,-0.10693232945791165,A
56,A56,0.7188830718474104,A
57,A57,0.6091177552281937,A
58,A58,-0.7723647866983308,A
59,A59,-0.275752824659089,A
60,A60,0.2887933251250734,A
61,A61,-0.35776446686671615,A
62,A62,-0.5712887698990019,A
63,A63,-0.3660915987006996,A
64,A64,0.5068757964309842,A
65,A65,0.8949784079526579,A
66,A66,0.352223964716027,A
67,A67,-0.626527046794414,A
68,A68,0.3884316361522213,A
69,A69,0.6994595933731405,A
70,A70,-0.6347490681638954,A
71,A71,-0.7811041980660212,A
72,A72,0.5431761118882024,A
73,A73,0.8296229311381182,A
74,A74,-0.3943915977457677,A
75,A75,0.7775522647576796,A
76,A76,-0.9433256972135742,A
77,A77,-0.42072488188348944,A
78,A78,0.28130492731248946,A
79,A79,-0.5069069210178401,A
80,A80,-0.6354976876881244,A
81,A81,-0.38233778372815297,A
82,A82,0.26651526278861315,A
83,A83,0.7040060346197461,A
84,A84,-0.007471143247889334,A
85,A85,-0.5324489525168625,A
86,A86,-0.07607571338513708,A
87,A87,-0.2685728692330349,A
88,A88,0.7347007186908738,A
89,A89,0.2722541708196806,A
90,A90,-0.7685661127010119,A
91,A91,-0.12404769675215,A
92,A92,0.9822200537754078,A
93,A93,-0.17783757200498784,A
94,A94,-0.5482218661289993,A
95,A95,0.7904882870099177,A
96,A96,0.536970654762611,A
97,A97,-0.9212164036215835,A
98,A98,-0.021875263362734376,A
99,A99,-0.014956776672014005,A
100,A100,0.02211164199081672,A
101,A101,0.663551942377919,A
102,A102,-0.6614163356767537,A
103,A103,-0.7089649159350622,A
104,A104,-0.5119202918216486,A
105,A105,0.1283208113838603,A
106,A106,-0.49960375951422265,A
107,A107,-0.7609628085484579,A
108,A108,-0.9937455963598618,A
109,A109,-0.8326724555147449,A
110,A110,0.648077365103654,A
111,A111,0.16108408442112965,A
112,A112,0.6317497801171474,A
113,A113,-0.39732266650183545,A
114,A114,-0.689446951365418,A
115,A115,0.3703575859885597,A
116,A116,0.0033091433275216353,A
117,A117,0.07112583512387438,A
118,A118,-0.7763435968663965,A
119,A119,0.38275428139277734,A
120,A120,0.22600704842536845,A
121,A121,0.969484798712007,A
122,A122,-0.43396174615252425,A
123,A123,0.5751921919221732,A
124,A124,-0.7982836232440824,A
125,A125,0.6119989602369911,A
126,A126,0.2781105437950857,A
127,A127,-0.6808483950946433,A
128,A128,-0.8462305885060484,A
129,A129,-0.46916876195949997,A
130,A130,-0.6038311041278561,A
131,A131,-0.9479735220296572,A
132,A132,0.2965514991247482,A
133,A133,0.7171069982341465,A
134,A134,-0.442117587854969,A
135,A135,0.8483804950021663,A
136,A136,-0.23073629455757683,A
137,A137,-0.2182676000099968,A
138,A138,0.32024679119636734,A
139,A139,-0.7947833862600331,A
140,A140,-0.9803935322893704,A
141,A141,0.9412321672681121,A
142,A142,0.9781962945874223,A
143,A143,0.4967405558163227,A
144,A144,0.9233793792119522,A
145,A145,0.5667491619337934,A
146,A146,-0.2334685469389357,A
147,A147,-0.6289596524962064,A
148,A148,0.8646005008922413,A
149,A149,0.1024176023869856,A
150,A150,-0.6401377712923741,A
151,A151,0.8470158066295164,A
152,A152,-0.8390149438383276,A
153,A153,0.047889627626034104,A
154,A154,0.20922383742028372,A
155,A155,0.8914803285370443,A
156,A156,0.38574546238744345,A
157,A157,0.33015273084595753,A
158,A158,-0.4082189405745007,A
159,A159,-0.03983635265828922,A
160,A160,-0.40702497703956064,A
161,A161,-0.5166441329771234,A
162,A162,0.053928390601444054,A
163,A163,-0.6280046935055255,A
164,A164,-0.00011378235396897196,A
165,A165,-0.5450014191909058,A
166,A166,0.5706896136553197,A
167,A167,-0.9679683470578664,A
168,A168,-0.7135326011358574,A
169,A169,0.37366256797865294,A
170,A170,0.343038255720822,A
171,A171,-0.016142776881201915,A
172,A172,0.9005812385068996,A
173,A173,-0.4960270972432561,A
174,A174,0.3945936645965229,A
175,A175,0.8132779352859165,A
176,A176,-0.05334229806703639,A
177,A177,0.5168603741358022,A
178,A178,0.3353579992921554,A
179,A179,-0.9102223526749231,A
180,A180,-0.69688778100423,A
181,A181,0.9103388619398967,A
182,A182,0.5583369891880252,A
183,A183,0.06571846892874755,A
184,A184,0.16459031787201628,A
185,A185,-0.2664068901987089,A
186,A186,-0.14689948100645656,A
187,A187,0.4219007361725382,A
188,A188,0.425747619093513,A
189,A189,0.6425638573344825,A
190,A190,0.219421547489961,A
191,A191,0.4154295339612337,A
192,A192,-0.7137571938929539,A
193,A193,0.4676726659572068,A
194,A194,-0.6049490308226269,A
195,A195,-0.21191171702270162,A
196,A196,-0.5483707480201077,A
197,A197,-0.5738896212331497,A
198,A198,-0.3090516337565201,A
199,A199,0.17658034692451818,A
200,A200,-0.9889188475153523,A
201,A201,0.6691746445540818,A
202,A202,0.3958740140915158,A
203,A203,0.9887529368027688,A
204,A204,-0.053613250658846257,A
205,A205,0.5163419628638792,A
206,A206,-0.4887352187675069,A
207,A207,-0.5411946193876351,A
208,A208,-0.16131936555177595,A
209,A209,0.56274378519493,A
210,A210,-0.9021676711218636,A
211,A211,0.6164231317705982,A
212,A212,-0.7231955602487878,A
213,A213,0.6540006507598835,A
214,A214,-0.9696831868622267,A
215,A215,-0.47120194888280476,A
216,A216,0.8998529562909539,A
217,A217,0.5934974353020908,A
218,A218,-0.14638647821683048,A
219,A219,-0.9574480051720171,A
220,A220,0.8871924194014198,A
221,A221,-0.5312180495041312,A
222,A222,-0.9906540661723893,A
223,A223,-0.474086365372163,A
224,A224,0.8362100611684371,A
225,A225,0.3778129985845209,A
226,A226,0.39656784520903865,A
227,A227,-0.6824608977445035,A
228,A228,0.14503148798630439,A
229,A229,-0.38683968892858567,A
230,A230,-0.05238946964844726,A
231,A231,0.9982958303424039,A
232,A232,0.3562127730155775,A
233,A233,0.9455106454695144,A
234,A234,-0.8950118871441619,A
235,A235,-0.686964511300012,A
236,A236,-0.42235172051296743,A
237,A237,0.09224926726154781,A
238,A238,0.761273379899045,A
239,A239,0.7020128469243645,A
240,A240,0.4749719653661473,A
241,A241,0.13903971959741313,A
242,A242,0.2998144524093316,A
243,A243,-0.30138219085658835,A
244,A244,-0.28033473672390974,A
245,A245,0.849816723719871,A
246,A246,-0.7960968695471566,A
247,A247,-0.11468372294916596,A
248,A248,0.8115801493833896,A
249,A249,0.8561229181078507,A
250,A250,-0.1162428532533013,A
251,A251,-0.02744610575502815,A
252,A252,0.6704878659447862,A
253,A253,0.8657866889508459,A
254,A254,0.3158263064003959,A
255,A255,-0.40390730106960104,A
256,A256,-0.7662815849181726,A
257,A257,0.23561278060786162,A
258,A258,0.4266145893554263,A
259,A259,0.3830609463283794,A
260,A260,0.29144493898994006,A
261,A261,-0.9226013792774836,A
262,A262,0.7918969389731509,A
263,A263,-0.5070430992017005,A
264,A264,0.24146181971021985,A
265,A265,0.10112731745401837,A
266,A266,0.6205424821601717,A
267,A267,-0.3212766438135186,A
268,A268,-0.8391382197120631,A
269,A269,0.8479883782106519,A
270,A270,-0.8578620034721214,A
